GEM plant ID,Plant name (English),Owner,Country/area,Region,Latitude,Longitude,Capacity (ttpa),Plant age,distance_to_litpop_km,litpop_asset_value,litpop_value_50km
P100001063538,Guangdong Daxing Iron & Steel Industrial Co Ltd,Guangdong Daxing Iron & Steel Industrial Co Ltd,China,Asia Pacific,23.529158,116.329247,720.0,26.52,4.075799026504557,13690835436.783312,577955812174.6229
P100001063264,Guangdong Fogang Jincheng Metal Products Co Ltd,Guangdong Fogang Jincheng Metal Products Co Ltd,China,Asia Pacific,23.741965,113.502168,500.0,21.98,5.491126630707885,92889374.35438424,104746357578.09418
P100000120087,Guangdong Guangqing Metal Technology Co Ltd,Guangdong Guangqing METAL Technology Co Ltd,China,Asia Pacific,21.697069,111.848841,2040.0,16.0,8.457397153224388,546325381.749661,18092619931.191082
P100001063170,Guangdong Guixin Steel Co Ltd,Guangdong Guixin Steel Co Ltd,China,Asia Pacific,23.517109,113.106865,630.0,22.0,3.297716167403249,1383225148.037752,996060755241.3506
P100001062833,"Guangdong Guoxin Industrial Co., Ltd.",Guangdong Guoxin Industrial Co Ltd,China,Asia Pacific,23.407415,116.570818,2500.0,24.0,6.3954820584412095,4977101905.5661955,582448944819.6637
P100001063522,Guangdong Hongde Steel Group Co Ltd,Guangdong Hongde Steel Group Co Ltd,China,Asia Pacific,24.672351,113.535574,860.0,24.0,4.048124125464352,2371893017.6045723,31793771860.51081
P100000120362,Guangdong Jingye Iron and Steel Co Ltd,Guangdong Jingye Iron and Steel Co Ltd,China,Asia Pacific,23.454666,116.498483,2000.0,6.0,4.1157613001382956,7797595936.055308,583637230738.2711
P100000120319,Guangdong Jinshenglan Metallurgical Technology Co Ltd,Guangdong Jinshenglan Metallurgical Technology Co Ltd,China,Asia Pacific,22.888729,112.263081,3600.0,5.0,3.3024743400838186,288572450.6037076,60803563955.78658
P100000120380,Guangdong Nanfang Donghai Iron and Steel Co Ltd,Guangdong Nanfang Donghai Iron and Steel Co Ltd,China,Asia Pacific,22.907614,112.224952,2400.0,3.0,4.006204781387041,194781090.93254027,60211318656.04337
P100001063276,Guangdong Shengye Steel Co Ltd,Guangdong Shengye Steel Co Ltd,China,Asia Pacific,24.008564,114.797328,920.0,21.97,3.7254858836490987,106278554.73135719,24624244874.55013
