GEM plant ID,Plant name (English),Owner,Country/area,Region,Latitude,Longitude,Capacity (ttpa),Plant age
P100000121248,Al Qaryan steel plant,Al Qaryan Steel Co,Saudi Arabia,Middle East,26.280741,49.956755,350.0,9.0
P100000120446,Al-Ezz Dekheila Steel Alexandria plant,Al Ezz Dekheila Steel Company Alexandria SAE,Egypt,Africa,31.123467,29.80987,3340.0,40.0
P100000120905,Alchevsk Metallurgical Plant,Alchevsk Metallurgical Plant PJSC,Ukraine,Europe,48.478111,38.770787,5472.0,130.0
P100000120623,Alfa Acciai Brescia steel plant,Alfa Acciai SpA,Italy,Europe,45.508698,10.248464,2000.0,71.0
P100000120637,Alfa Acciai Catania steel plant,Acciaierie di Sicilia SpA,Italy,Europe,37.438448,15.03287,500.0,28.0
P100000120439,Algerian Qatari Steel Jijel plant,Algerian Qatari Steel,Algeria,Africa,36.753961,6.24442,2100.0,9.0
P100000120059,Algoma steel plant,Algoma Steel Group Inc,Canada,North America,46.518984,-84.374068,1850.0,125.0
P100000120750,Alliance Steel Kuantan plant,Alliance Steel (M) Sdn Bhd,Malaysia,Asia Pacific,4.007595,103.344458,3500.0,9.0
P100001063588,Alter Steel Pinkenba steel plant,Equest Steel Pty Ltd,Australia,Asia Pacific,-27.42083,153.127715,,
P100000120998,Alton Steel plant,Alton Steel Inc,United States,North America,38.884465,-90.14579,,23.0
P100000120724,Altos Hornos De Mexico SA (AHMSA) steel plant,Altos Hornos de Mexico SAB de CV,Mexico,North America,26.876889,-101.416612,,82.0
P100001064479,Amir Azerbaijan Steel plant,AFA Steel,Iran,Middle East,46.843697,46.843697,500.0,5.0
P100000121247,Amirkabir Arak Steel plant,Amir Kabir Arak Steel Co,Iran,Middle East,34.083379,49.752451,,
P100000121232,Amreli Steels Dhabeji plant,Amreli Steels Ltd,Pakistan,Asia Pacific,24.800326,67.504851,600.0,15.0
P100000120803,Amurstal steel plant,Amurstal LLC,Russia,Eurasia,50.563131,136.976362,1150.0,84.0
P100000120163,Angang Group Xinyang Iron and Steel Co Ltd,"Xinyang Iron & Steel Co.,ltd of Angang Group",China,Asia Pacific,32.488704,114.038243,3600.0,55.0
P100000120089,Angang Lianzhong Stainless Steel Co Ltd,Angang Lianzhong Stainless Steel Corp,China,Asia Pacific,23.126822,113.505817,1900.0,25.0
P100000120219,Angang Steel Co Ltd,Angang Steel Co Ltd,China,Asia Pacific,41.148267,122.983054,20650.0,27.43
P100000120220,Angang Steel Co Ltd Bayuquan branch,Angang Steel Co Ltd,China,Asia Pacific,40.308494,122.13079,7500.0,20.0
P100000120070,Anhui Changjiang Steel Co Ltd,Anhui Changjiang Steel Co Ltd,China,Asia Pacific,31.502272,118.465162,3800.0,23.0
P100000120071,Anhui Guihang Special Steel Co Ltd,Anhui Guihang Special Steel Co Ltd,China,Asia Pacific,30.531068,117.251147,2700.0,15.89
