Owner,total_capacity_ttpa,n_plants,n_countries,n_regions,avg_litpop_value_50km,centroid_lat,centroid_lon
BERIS Jiangsu Heavy Industry Co Ltd,2000.0,1,1,1,595157528493.2195,32.104319,119.792126
BES Brandenburger Elektrostahlwerke GmbH,1800.0,1,1,1,,52.402617,12.496135
BMM Ispat Ltd,2208.0,1,1,1,7882306184.527622,15.16972,76.37971
BMZ-Upravlyayushchaya Kompaniya Kholdinga BMK JSC,3000.0,1,1,1,,52.849321,29.988985
BPA Metallics Pvt Ltd,0.0,1,1,1,8758336697.083927,21.926993,83.374089
BSRM Steels Ltd,770.0,1,1,1,,22.873774,91.545562
Badische Stahlwerke GmbH,2500.0,1,1,1,,48.595058,7.821633
Bafgh Mineral Complex Iron & Steel Co,1200.0,1,1,1,,31.699307,55.440187
Baicheng Fuda Bar Rolling Co Ltd,788.0,1,1,1,10999663034.44302,45.593303,122.895588
Baku Steel Company QSC,800.0,1,1,1,,40.43136,49.886867
Baldota Steel and Power Ltd,0.0,1,1,1,6129281055.262092,15.332616,76.206778
Bangkok Steel Industry PCL,600.0,1,1,1,,13.647672,100.553882
Bangladesh Steel Re-Rolling Mills Ltd,1150.0,1,1,1,,22.870631,91.545862
Baobab Steel Ltd,0.0,1,1,1,,-15.724345,33.762664
Baoshan Iron & Steel Co Ltd,19800.0,1,1,1,2692492306776.8086,31.41623,121.440087
Baosteel Desheng Stainless Steel Co Ltd,3220.0,1,1,1,26042658674.23849,26.48747,119.654461
Baosteel Group Xinjiang Bayi Iron & Steel Co Ltd,7300.0,1,1,1,361880986497.6777,43.852147,87.304639
Baosteel Special Metals Co Ltd,0.0,1,1,1,2736540205241.171,31.379422,121.484652
Baosteel Zhanjiang Iron & Steel Co Ltd,14328.0,1,1,1,45043420848.915,21.056035,110.48657
Baotou Baoxin Special Steel Co Ltd,0.0,1,1,1,158577491.19974533,41.362925,110.988771
Baotou DA AN IRON&STEEL Co Ltd,0.0,2,1,1,172378597490.8684,40.688731000000004,109.75999300000001
Baotou Deshun Spec. Steel Co Ltd,0.0,1,1,1,113520539124.16762,40.9019,110.336253
Baotou Jiyu Steel Co Ltd,0.0,1,1,1,172336884220.31696,40.662343,109.696243
Baowu Group Echeng Iron & Steel Co Ltd,4971.0,1,1,1,306722460405.3967,30.39574,114.861313
Bashundhara Multi Steel Industries Ltd,0.0,1,1,1,,22.719278,91.470382
Beijing Shougang Co Ltd,6300.0,1,1,1,138954186720.70343,39.976702,118.558788
Bengang Steel Plates Co Ltd,12400.0,1,1,1,105905416420.2977,41.274132,123.722099
Benteler Steel/Tube GmbH,650.0,1,1,1,,52.467622,7.317169
Benxi Beiying Iron & Steel (GROUP) Co Ltd,2600.0,1,1,1,161088955029.0114,41.224814,123.608374
Berhard Development Corporation (Private) Ltd,0.0,1,1,1,,-19.055102,29.782424
Bhagyalaxmi Metals Pvt Ltd,0.0,1,1,1,1988518197.7976384,20.088919,79.71792
Bhushan Power & Steel Ltd,0.0,1,1,1,6139043854.782175,22.665526,85.64622
Big River Steel LLC,6022.0,1,1,1,,35.644264,-89.941659
Blastr Green Steel AS,0.0,1,1,1,,60.0175,23.9126
BlueScope Steel Ltd,3200.0,2,2,2,,2.6759389999999996,24.805504999999997
Bonab Steel Complex,1000.0,1,1,1,,37.417437,46.035778
Briquetera del Orinoco CA,0.0,1,1,1,,8.274965,-62.819282
British Steel Ltd,0.0,2,1,1,,54.085131000000004,-0.874782
Butia Iranian Steel Co,1500.0,1,1,1,,30.4912,56.8214
CMC Poland SP zoo,1700.0,1,1,1,,50.487463,19.456759
CVG Ferrominera Orinoco CA,0.0,1,1,1,,8.33468,-62.728842
Cambodia Iron & Steel Mining Industry Group Co Ltd,0.0,1,1,1,,13.366642,105.118129
Cangzhou China Railway Equipment Manufacturing Materials Co Ltd,7500.0,1,1,1,13751660752.37654,38.289221,117.814367
Cangzhou Lingang Sanling Metal Co Ltd,1000.0,1,1,1,33384576831.26575,38.311738,117.457779
Captain Steel India Ltd,208.0,2,1,1,61506964518.38534,23.319004303795843,87.09046517280512
Cascade Steel Rolling Mills Inc,860.0,1,1,1,,45.228035,-123.163599
Celsa France SAS,1200.0,1,1,1,,43.529693,-1.500971
Celsa Huta Ostrowiec SP zoo,1220.0,1,1,1,,50.947305,21.448763
Century Steel Pte Ltd,0.0,1,1,1,,34.072714,72.141584
Ceylon Steel Co Ltd,0.0,1,1,1,,6.128077,81.075224
Chadormalu Mining & Industrial Co,1200.0,1,1,1,,32.387328,53.747706
Changli Xingguo Precision Machinery Co Ltd,0.0,1,1,1,64521148224.11561,39.704921,118.897417
Changshu Longteng Special Steel Co Ltd,3203.0,1,1,1,943790192308.3676,31.723833,120.835685
Changzhou Dongfang Special Steel Co Ltd,3300.0,1,1,1,514298732443.4122,31.602554,119.724256
Chart and Capstone Integrated Ltd,0.0,1,1,1,,7.69346,6.806937
Charter Manufacturing Co Inc,1205.0,2,1,1,,42.42184,-84.8040555
Chelyabinskiy Metallurgicheskiy Kombinat PJSC,5799.0,1,1,1,,55.27073,61.436492
Chelyabinskiy Truboprokatnyi Zavod JSC,950.0,1,1,1,,56.90205,59.992198
Chengde Jianlong SPECIAL Steel Co Ltd,4400.0,1,1,1,7243348596.132714,40.515035,117.596071
Chengde Shengfeng Iron & Steel Co Ltd,0.0,1,1,1,5229878713.764726,40.622466,118.490845
Chengde Street Ltd,8000.0,1,1,1,18847781998.26688,40.947707,117.719747
Chengde Zhaofeng Steel Group Co Ltd,0.0,1,1,1,4702780046.307758,40.593875,118.633334
Chengdu Changfeng Steel Group Co Ltd,1500.0,1,1,1,230977040657.49817,31.031921,103.672956
Chengyu Vanadium & Titanium Technology Co Ltd,4050.0,1,1,1,33101993302.919178,29.732143,104.504339
Chifeng Yuanlian Steel Co Ltd,2450.0,1,1,1,40307175135.176575,42.278115,119.015289
Chifeng Zhongtang Special Steel Co Ltd,2700.0,1,1,1,7498429949.600115,41.834064,119.281883
China Steel Corp,10000.0,1,1,1,,22.555442,120.349252
Chizhou Guichi Guihang Metal Products Co Ltd,1000.0,1,1,1,40844703067.460754,30.532786,117.25166
Chongli Steel Manufacturing Co Ltd,0.0,1,1,1,36771970617.06509,36.602468,113.755744
Chongqing Iron & Steel Co Ltd,8400.0,1,1,1,66908346212.95494,29.790253,107.040368
Chongqing Pengcheng Steel Co Ltd,520.0,1,1,1,377201250887.2683,29.259699,106.214031
Chongqing Yonghang Steel Group Co Ltd,700.0,1,1,1,117090028521.12021,29.836163,106.988138
Chongqing Yuxi Iron & Steel (Group) Co Ltd,260.0,1,1,1,72402307274.01082,29.488759,105.862658
Chongqing Zuhang Steel Co Ltd,0.0,1,1,1,40302504422.14738,29.440056,105.741929
Chow Steel Industries PCL,730.0,1,1,1,,14.074757,101.84215
Chubu Steel Plate Co Ltd,800.0,1,1,1,2357097520684.2573,35.118836,136.867567
Cleveland-Cliffs Inc,23655.0,12,2,1,,41.211778833333334,-82.50965675
Cognor Holding SA,500.0,1,1,1,,50.357438,18.610739
Columbus Stainless (Pty) Ltd,850.0,1,1,1,,-25.796313,29.497972
Commercial Metals Co,5076.0,8,1,1,,34.5814187875,-86.947823
Companhia Siderurgica do Cuchi SA,0.0,1,1,1,,-14.650166,16.925606
Companhia Siderúrgica Nacional SA,6251.0,1,1,1,,-22.512631,-44.11287
Compania Espanola de Laminacion SL,2500.0,1,1,1,,41.454855,1.980107
Compania Siderurgica Huachipato SA,0.0,1,1,1,,-36.746421,-73.129171
Complejo Siderurgico de Guayana CA,0.0,1,1,1,,8.297662,-62.780149
Corporacion Aceros Arequipa SA,1250.0,1,1,1,,-13.788622,-76.168173
Corporacion Venezolana de Guayana,0.0,1,1,1,,8.290142,-62.805419
Corporación AG SA,500.0,1,1,1,,14.232007,-90.815444
Corrugados Getafe SL,0.0,1,1,1,,40.310803,-3.703568
Crest Steel and Power Pvt Ltd,96.0,1,1,1,30143371786.553913,21.190313,81.19922
Cristian Lay SL,0.0,1,1,1,,43.179125,-2.255939
DELONG Steel Ltd,3000.0,1,1,1,113132579451.10545,37.086116,114.384832
DST Nghi Son Iron and Steel JSC,0.0,1,1,1,,19.367379,105.675841
Daehan Steel Co Ltd,1000.0,1,1,1,,35.099098,128.860339
Daido Steel Co Ltd,1500.0,1,1,1,2327029881355.0083,35.016404,136.864744
Dalmine SpA,700.0,1,1,1,,45.641516,9.600242
Danyang Longjiang Steel Co Ltd,1500.0,1,1,1,479799462968.5741,32.027791,119.57706
Dar Al Arkan Real Estate Development Company SJSC,0.0,1,1,1,,21.524005,39.240633
Daric Investment Holding Co,0.0,4,1,1,,37.86893375,46.46809225
Daye Huaxin Industrial Co Ltd,0.0,1,1,1,89934417378.5388,30.070219,114.926251
Daye SPECIAL Steel Co Ltd,3420.0,1,1,1,93634166914.67557,30.204603,115.125838
Dazhou Hangda Steel Co Ltd,1000.0,1,1,1,20381649829.361385,31.435149,107.685981
DeAcero SAPI de CV,4500.0,2,1,1,,23.014859,-100.943702
Delta Steel Mills Co,500.0,1,1,1,,30.11843,31.281264
Deutsche Edelstahlwerke GmbH,600.0,1,1,1,,50.922844,8.024006
Devki Group,0.0,1,1,1,,0.681522,34.178037
